Ensino Básico;Ensino Superior;Curso de Idiomas;Edução Profissional Técnico;Curso Preparatório;Curso Livre
"SOCIEDADE DE EDUCAÇÃO E ASSISTÊNCIA SOCIAL SANTA CLARA
CNPJ:29.051.117/0001-86
Rua Moreira Cesar nº 172, São Gonçalo-Centro-RJ CEP 2440-400Tel:(21) 2712-1620 antonia.cecilia@yahoo.com.br
Desconto:10% ENS FUND E PRÉ, 50% NA MATRIC E 10% MENS NO ENS MÉD";;;;;
"ASVP - COLÉGIO DA IMACULADA CONCEIÇÃO
CNPJ:33.570.052/0006-67
Praia de Botafogo, 266 – Botafogo – Rio de Janeiro – CEP: 22250-145Tel: (21) 2551-7698 www.asvpcic.com.br  cic@asvpcic.com.br
Desconto: 10% - Ed. Infantil e Ens.Fund. I somente no período vespertino;Ens.Fund. II e Ens. Médio, no período matutino.";;;;;
"INSTITUTO SANTO ANTÔNIO – ABMSA
CNPJ: 33.642.455/0014-84
Rua Maria Joaquina, 544 – Pavuna – Rio de Janeiro – RJ – CEP: 21520-580Tel: (21) 2474-1080 administracao@institutosantoantonio.com.brDesconto: 15% do Maternal ao 9º ano.";;;;;
"COLÉGIO CENECISTA CAPITÃO LEMOS CUNHA
CNPJ: 33.621.384/0043-78
Estrada do Galeão, s/nº – Ilha do Governador – RJ – CEP: 21941-291Tel: (21) 3975.6803, 3975.6807 www.colegiolemoscunha.cnec.br  ccclc@cnerj.com.br
Desconto:20% para Ed. Inf, Ens. Fund. Ens. Médio.";;;;;
"HOTEL DO BEBÊ LTDA
CNPJ:08.479.420/0001-04
Rua Missionário Gunnar Vingren, 1974, Capim Macio – Natal - RN Tel:(84) 3201-8936
Desconto:10%";;;;;
"IMPACTO COLÉGIO E CURSO LTDA
CNPJ:13.646.741/0001-23
Rua Caraaru, Esperança, Natal-RN. Tel:(84) 3205-1574
Desconto:10%";;;;;
"ASSOCIAÇÃO NORDESTE BRASILEIRA DE EDUCAÇÃO E CULTURA - COLÉGIO NOSSA SENHORA DE FÁTIMA
CNPJ:10.970.689/0007-26
Av. Rodrigues Alves, 646, Tirol, Natal-RN. CEP 39020-200 Tel: (84)3222-2962
www.cnsfnatal.com.br  cnsf@cnsfnatal.com.br
Desconto:15%";;;;;
"INSTITUTO MARIA AUXILIADORA
CNPJ:08.319.741/0001-41
Av. Hermes da Fonseca, 603,Tirol, Natal-RN. CEP 59020-095 Tel: (84)4006-4350
www.auxiliadoradenatal.com.br      ima@auxiliadoradenatal.com.br
Desconto:20%";;;;;
"CENTRO DE ENSINO POTIGUAR LTDA (OVERDOSE COLÉGIO E CURSO)
CNPJ:09.532.608/0001-31
Rua Marcilio Furtado nº2422, Lagoa Nova, Natal - RN. CEP 59.063-360
Desconto: 30% nas mensalidades do 6º ao 9º ano e 15% nas mensalidade de 1ª a3ª série.";;;;;
"INSTITUTO BATISTA DE RORAIMA CNPJ:10.157.113/0001-59
Rua General Penha Brasil, nª 327, Centro, CEP 69301-440 Tel:(95) 21218888
Desconto:15%";;;;;
"COLÉGIO DOM BOSCO - ISMA- INSPETORIA SALESIANA MISSIONARIA DA AMAZONIA CNPJ:04.373.163/0052-10
Rua Almirante Barroso, 986, Bairro Santa Bárbara Tel:(92) 3625-5132 / 8414-5396 www.skillidiomas.com
Desconto:15 a 20%";;;;;
"CAEDRHS ASSOCIAÇÃO DE ENSINO CNPJ:03.642.383/0001-90
Av. Coronel José Lobo, 800, Paranaguá - PR. CEP 83203-340 Tel:(41) 3423-3415 direcaodegraduacao@isulpar.com.br
Desconto:5-10 ALUNOS 30%; 11-20 35%; A PARTIR DE 21 40%";;;;;
"ASSOCIAÇÃO NOTRE DAME - COLÉGIO MARIA AUXILIADORA
CNPJ:88.337.605/0002-02
Av. Guilherme Schell nº5888, Centro, Canoas-RS. CEP 92.310-000Tel:(51) 3462-8600 www.auxiliadora.net    auxiliadora@auxiliadora.net
Desconto:10% a 20%";;;;;
"MITRA DIOCESANA DE RIO GRANDE
CNPJ:87.743.613/0001-05
Av. Pelotas 355, Cidade Nova, CEP 96211-000Tel:(53) 3232-9231 escolasluiz@hotmail.com
Desconto:10 a 25%";;;;;
"COLEGIO SAGRADO CORAÇÃO DE JESUS
CNPJ:94.870.946/0001-52
Rua Dr. Augusto Duprat 374,  Bairro Cidade NovaTel:(53)3232-5531/ 3232 4246
escscj@terra.com.br
Desconto:15 a 30%";;;;;
"ASSOCIAÇÃO CULTURAL E BENEFICENTE NOVA LOURDES
CNPJ:84.304.179/0010-51
Av. Medianeira, nº 415, Centro, Santa Maria-RS. CEP 97060-001Tel:(55) 3028-3470 financeiro@escolamedianeira.com.br
Desconto:25%  DE 1ª A 8ª SÉRIE E 10% NO TURNO INTEGRAL";;;;;
"ASSOCIAÇÃO EDUCACIONAL MARCO POLO - COLÉGIO MARCO POLO
CNPJ:08.335.183/0001-08
Rua Conrado Hoffmann, 117, sala 02, RS CEP 97060-140
Tel:(55) 3222-0050
contato@marcopolocolegio.com.br
Desconto:20%";;;;;
"Turma da Mônica CR. Barbosa – ME.
Rua Buenos Aires, 1504. Bairro Nova Porto Velho. Cep 76.820-138. Porto Velho –RO (069) 322-2283
30% (trinta por cento).20% (vinte por cento).";;;;;
"CENTRO EDUCACIONAL CONSTRUIR - MEDEIROS E MEDEIROS
CNPJ:10.832.390/0001-10
Rua Capitão Felipe nº 242, Mecejana, Boa Vista-RR. CEP 69304-450 Tel:(95) 3624-6646
lineia.medeiros@hotmail.com
Desconto:20%";;;;;
"CENTRO EDUCACIONAL PITÁGORAS - LUCINEIA CARLOS MEDEIROS
CNPJ:06.110.789/0001-10
Av. Nazaré Filgueiras, 3015, Alvorada, Boa Vista-RR. CEP 69316-715 Tel:(95) 3627-7008
lineia.medeiros@hotmail.com
Desconto:15%";;;;;
"PRÉ-ESCOLAR REIZINHO LTDA
CNPJ:01.949.930/0001-59
Av Major williams n. 757, Centro Tel:(95) 36235640
Desconto:15%";;;;;
"VOVÓ RAQUEL CENTRO EDUCACIONAL LTDA.
CNPJ:00.241.426/0001-37
Rua Aracy Vaz Calado, nº 751, Estreito, Florianópolis-SC. CEP 88070-750 Tel:(48) 3248-4779
www.vovoraquel.com.br       vovoraquelsede@gmail.com
Desconto:10%";;;;;
"COLÉGIO CENECISTA PEDRO ANTONIO FAYAL
CNPJ:33.621.384/0952-33
Rua Alfredo Trompowsky, 153, Vila Operária, Itajaí-SC. CEP 88303-140 Tel:(47) 3249-5205
Desconto:30% COLÉGIO CENECISTA PEDRO ANTONIO FAYAL
CNPJ:33.621.384/0952-33
Rua Alfredo Trompowsky, 153, Vila Operária, Itajaí-SC. CEP 88303-140 Tel:(47) 3249-5205
Desconto:30%";;;;;
"EAGLE HIGH IDIOMAS LTDA
CNPJ:00.572.400/0001-71
Rua Lauro Muller, 503, Centro, Itajaí-SC. CEP 88301-400 Tel:(47) 3348-530
itaji@wizard.com.br Desconto:30%";;;;;
"SOCIEDADE EDUCACIONAL VERDES MARES
CNPJ:03.142.870/0001-93
Rua Felipe Schmidt, n 306, Centro, Itajaí-SC  CEP 88300-000 Tel:(47) 3348-3780
Desconto:15%";;;;;
"UNIVERSIDADE DO VALE DO ITAJAÍ - UNIVALI
CNPJ:84.307.974/0001-03
Rua Uruguai, n 458, Centro reitoria.secretaria@univali.br Desconto:20%";;;;;
"COLÉGIO ALBERT EINSTEIN
CNPJ:71.579.908/0001-40
Av. Juscelino Kubitscheck de Oliveira, nº 957, Campo do Galvão, Guaratinguetá-SP.CEP 12505-300 Tel:(12)3128-3000
www.objetivoguara.com.br       einstein@provale.com.br Desconto:30% MENSALIDADE E 35% ANUIDADE/SEMESTRALIDADE";;;;;
"COLÉGIO FONTE LTDA - ME
CNPJ:09.083.215/0001-98
Av. Gustavo Molilca, nº561, Portal das Colinas - Guaratinguetá - SP. CEP 12.516-010.
Tel:(12) 3123-2888
www.colegiofonte.com.br
Desconto:35% PARA EDUCAÇÃO INFANTIL; 30% PARA ENSINO FUNDAMENTAL I e IIe 50% PARA ENSINO MÉDIO.";;;;;
"INSTITUTO NOSSA SENHORA DO CARMO
Desconto:20%";;;;;
"CENTRO EDUCACIONAL RENASCER
CNPJ:15.162.395/0001-04
Alameda Dr. Levy Cornetti Velloso, 405, Bairro AlamedaTel:(12) 3125-4166
ramiro.cerenascer@hotmail.com Desconto: 35%";;;;;
"COLÉGIO REZENDE E REZENDE
CNPJ:03.682.695/0001-27
Rua Floriano Peixoto, nº27, Centro, Jacareí - SP. CEP 12380-030.
Tel:(12) 3954-3910
isabel.moraes@rezenderezende.com.br Desconto:10%";;;;;
"COLÉGIO SAA - CENTRO DE ESTUDOS FILOSÓFICOS.
CNPJ:62.661.939/0001-54
Rua Amaral Gama, nº185, Santana/SP - CEP 02.018-000Tel:(11) 2287-7788
www.saa.com.br Desconto:20%";;;;;
"COLÉGIO MARISTA NOSSA SENHORA DA GLÓRIA - ASSOCIAÇÃO BRASILEIRADE ECUCAÇÃO E CULTURA - ABEC
Desconto:10%";;;;;
"COLÉGIO ECCOS
Desconto:10% DE DESC+ 10% EM CASO DE IRMÃOS";;;;;
"CENTRO DE EDUCAÇÃO NOVA PAULISTA
CNPJ:02.774.946/0001-30
Av. Livro Venesiani, 151, Jardim Uirá, São José dos Campos-SP. CEP 12227-570Tel:(12) 3923-9417
www.colegiocep.com.br   cepaulista@yahoo.com.br Desconto:10%";;;;;
"ESCOLA DE EDUCAÇÃO INFANTIL E FUNDAMENTAL PADRE JÚLIO MARIA
CNPJ:51.618.718/0001-87
Rua Olivo Gomes, 310 - Santana, São José dos Campos-SP CEP 12211-290 www.colegiopejulio.com.brdireção@colegiopejulio.com.br
Desconto:10% MENSAL e 15% ANUAL OU SEMESTRAL";;;;;
"ESCOLA DE SISTEMA ELO EDUCACIONAL
CNPJ:08.875.947/0001-67
Alameda Cândido Marciano Leite, 65, Vila Betanha, São José dos Campos-SP. CEP12245-486 Tel:(12) 3941-5343
www.eloeducacional.com.br Desconto:30%";;;;;
"FUNDAÇÃO VALEPARAIABANA DE ENSINO- SISTEMA FVE
CNPJ:61.191.244/0001-20
Pça Candido Dias Castejón, 116, São José dos Campos Tel:(12) 3947-1091
www.univap.br prius@univap.br
Desconto:15% NAS PARCELAS DE ANUIDADE";;;;;
"COLÉGIO NOVA GERAÇÃO - EDUCADORA JOSEENSE S/S LTDA-EPP
CNPJ:60.131.885-0001-90
Rua Massaguaçu, nº390, Jardim Satélite, São José dos Campos - SP. CEP 12230-650 Tel:(12) 3937-7373
isabel.moraes@rezenderezende.com.br Desconto:10%";;;;;
"ESCOLA GRILO FALANTE. ESCOLA MACEDO & MORAIS DE EDUCAÇÃOINFANTIL LTDA – ME
CNPJ:05.119.493/0001-05
Rua Santa Elza, nº218, Vila Aydana,  São José dos Campos - SP. CEP 12243-690 Tel:(12) 3911-4367
www.escolagrilofalante.com.br Desconto:10%";;;;;
"ESCOLA DE ENFERMAGEM  CAÇAPAVA (ITAB-INSTITUTO AFONSO BORGES)
CNPJ:02.098.288/0001-04
Av. Brasil, n.55, Vila Antonio Augusto Luiz, Caçapava Tel:(12) 3653-7452
itab.cpv@ig.com.br
Desconto:18% CURSOS TÉCNICOS";;;;;
"SISTEMA PAULISTANO DE ENSINO
CNPJ:10.586.453/0001-03
Rua Pelotas, 579, Vila Mariana
Tel:(11) 5084-2242
www.colegiomarcopolo.com.br         info@colegiomarcopolo.com.br Desconto:10%";;;;;
"COLEGIO SANTA CATARINA DE SENA- ASSOCIAÇÃO DE EDUCAÇÃO EBENEFICÊNCIA SANTA CATARINA DE SENA
CNPJ:62.047.071/0002-88
Rua Manoel da Nóbrega, 307, São Paulo Tel:(11) 3284-5656
www.colegiosantacatarinadesena.com.br secretaria@colegiosantacatarinadesena Desconto:10% DESC PARA BOLSA PARCIAL E 20%DESC PARA ANUIDADE";;;;;
"NUCLEO DE ENSINO OURO PRETO
CNPJ:43.066.133/0001-73
Rua Siqueira Bueno, 2386, Belenzinho Tel:(11) 2601-1144
www.colegioouropreto.com.br atendimento@colegioouropreto.com.br Desconto:20%";;;;;
"COLÉGIO MARIA MONTESSORI - ESCOLA MODELO PERNALONGA
CNPJ:62.380.365/0001-46
Av. Jurucê, n 402, Bairro Moema(11) 5542-9911
www.montessorinet.com.br Desconto:10 A 15%";;;;;
"FLORESTA ENCANTADA -15%
Rua Damiana da Cunha, 281 – Santana";;;;;
